Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Day of Week ,Time Slot,Ticket Status,Victim Group,Resolution Time
2883,5/2/2020,4/30/2020,30-04-2020 13:35,Delhi,350,VANDALISM,21,F,Explosives,Other Crime,13,No,,Thursday,Night,Pending,Adult,N/A
2072,3/27/2020,3/27/2020,27-03-2020 11:22,Surat,113,VANDALISM,12,M,Knife,Other Crime,11,Yes,4/4/2020,Friday,Night,Solved,Minor,8
1483,3/4/2020,2/3/2020,03-03-2020 8:25,Visakhapatnam,480,HOMICIDE,21,F,Firearm,Other Crime,4,Yes,7/31/2021,Monday,Morning,Solved,Adult,514
33638,11/5/2023,2/11/2023,03-11-2023 1:06,Kolkata,147,ASSAULT,69,F,Explosives,Violent Crime,7,Yes,12/19/2023,Saturday,Morning,Solved,Senior,44
33963,11/16/2023,11/16/2023,16-11-2023 03:47,Hyderabad,328,DRUG OFFENSE,57,M,Explosives,Other Crime,1,Yes,2/7/2024,Thursday,Afternoon,Solved,Adult,83
18078,1/25/2022,1/23/2022,24-01-2022 04:03,Chennai,231,SEXUAL ASSAULT,46,Other,Other,Violent Crime,9,Yes,4/19/2023,Sunday,Night,Solved,Adult,449
35350,1/14/2024,12/1/2024,13-01-2024 08:30,Bangalore,343,DRUG OFFENSE,22,M,None,Other Crime,16,No,,Sunday,Afternoon,Pending,Adult,N/A
19047,3/6/2022,4/3/2022,05-03-2022 2:13,Surat,217,VANDALISM,68,Other,Explosives,Other Crime,18,No,,Sunday,Morning,Pending,Senior,N/A
29986,6/5/2023,3/6/2023,03-06-2023 21:25,Ahmedabad,525,ASSAULT,21,F,Explosives,Violent Crime,19,Yes,8/30/2023,Monday,Morning,Solved,Adult,86
36131,2/14/2024,2/14/2024,14-02-2024 18:24,Ahmedabad,548,DOMESTIC VIOLENCE,63,M,Explosives,Violent Crime,11,Yes,4/12/2024,Wednesday,Afternoon,Solved,Senior,58
10245,3/5/2021,2/3/2021,03-03-2021 11:04,Chennai,383,SHOPLIFTING,17,M,Knife,Other Crime,16,No,,Wednesday,Morning,Pending,Minor,N/A
12834,6/19/2021,6/18/2021,18-06-2021 20:24,Vasai,433,VANDALISM,53,M,Blunt Object,Other Crime,12,No,,Friday,Evening,Pending,Adult,N/A
24261,10/9/2022,7/10/2022,08-10-2022 13:53,Jaipur,265,COUNTERFEITING,15,M,Explosives,Other Crime,4,No,,Sunday,Morning,Pending,Minor,N/A
1821,3/17/2020,3/16/2020,17-03-2020 01:19,Surat,475,EXTORTION,21,M,Knife,Other Crime,16,No,,Monday,Evening,Pending,Adult,N/A
11524,4/27/2021,4/25/2021,25-04-2021 20:29,Delhi,316,SHOPLIFTING,35,F,None,Other Crime,5,No,,Sunday,Night,Pending,Adult,N/A
29785,5/26/2023,5/26/2023,26-05-2023 05:41,Delhi,436,DOMESTIC VIOLENCE,40,M,Explosives,Violent Crime,17,Yes,7/20/2023,Friday,Night,Solved,Adult,55
23880,9/24/2022,9/21/2022,22-09-2022 02:20,Bangalore,520,FIREARM OFFENSE,34,M,Other,Fire Accident,14,No,,Wednesday,Night,Pending,Adult,N/A
21393,6/12/2022,10/6/2022,10-06-2022 16:04,Mumbai,140,ROBBERY,47,F,Firearm,Violent Crime,15,Yes,12/3/2022,Thursday,Morning,Solved,Adult,174
214,1/11/2020,9/1/2020,10-01-2020 2:45,Bangalore,239,VEHICLE - STOLEN,73,M,Explosives,Violent Crime,13,Yes,3/13/2020,Tuesday,Morning,Solved,Senior,62
16144,11/4/2021,3/11/2021,03-11-2021 17:10,Thane,426,ASSAULT,72,M,Knife,Violent Crime,9,Yes,12/8/2021,Thursday,Morning,Solved,Senior,34
25724,12/9/2022,7/12/2022,08-12-2022 12:00,Mumbai,391,FRAUD,26,F,Firearm,Other Crime,17,Yes,1/23/2023,Tuesday,Morning,Solved,Adult,45
1688,3/14/2020,11/3/2020,11-03-2020 19:17,Nashik,556,VANDALISM,45,F,Poison,Other Crime,13,No,,Tuesday,Morning,Pending,Adult,N/A
25173,11/16/2022,11/14/2022,15-11-2022 12:00,Vasai,145,VANDALISM,37,F,Other,Other Crime,17,No,,Monday,Afternoon,Pending,Adult,N/A
16901,12/7/2021,5/12/2021,05-12-2021 20:21,Indore,528,ARSON,62,M,Other,Fire Accident,10,Yes,2/23/2022,Wednesday,Morning,Solved,Senior,78
19158,3/9/2022,9/3/2022,09-03-2022 10:46,Delhi,310,FRAUD,35,F,None,Other Crime,18,Yes,5/11/2022,Saturday,Morning,Solved,Adult,63
30156,6/11/2023,10/6/2023,10-06-2023 18:58,Thane,148,KIDNAPPING,65,F,Poison,Other Crime,6,Yes,7/31/2023,Friday,Morning,Solved,Senior,50
959,2/10/2020,9/2/2020,10-02-2020 1:36,Hyderabad,375,CYBERCRIME,23,F,None,Other Crime,6,Yes,3/14/2020,Wednesday,Morning,Solved,Adult,33
2782,4/27/2020,4/25/2020,25-04-2020 22:23,Faridabad,443,CYBERCRIME,71,M,Knife,Other Crime,12,No,,Saturday,Night,Pending,Senior,N/A
1179,2/21/2020,2/19/2020,19-02-2020 04:51,Jaipur,206,FRAUD,71,F,Poison,Other Crime,5,Yes,3/27/2020,Wednesday,Evening,Solved,Senior,35
